Milwaukee Bucks,47,14
Toronto Raptors,45,17
Indiana Pacers,41,22
Philadelphia 76ers,40,22
Boston Celtics,37,25
Brooklyn Nets,32,31
Detroit Pistons,29,31
Orlando Magic,29,34
Charlotte Hornets,28,33
Miami Heat,27,34
Washington Wizards,25,36
Atlanta Hawks,21,41
Chicago Bulls,17,45
Cleveland Cavaliers,15,47
New York Knicks,13,49
Golden State Warriors,43,19
Denver Nuggets,42,19
Oklahoma City Thunder,38,23
Portland Trail Blazers,38,23
Houston Rockets,37,25
Utah Jazz,35,26
Los Angeles Clippers,34,29
San Antonio Spurs,34,29
Sacramento Kings,31,30
Los Angeles Lakers,30,31
Minnesota Timberwolves,29,33
Dallas Mavericks,27,34
New Orleans Pelicans,27,36
Memphis Grizzlies,24,39
Phoenix Suns,12,50
